Indicator of Compromise (IOC),Type,Associated Threat
meta.ua,domain,UNC1151
online.tm,domain,APT29
com-account.website,domain,UNC1151
login-verify.online,domain,UNC1151
net-account.space,domain,UNC1151
com-verify.site,domain,UNC1151
account-inbox.online,domain,UNC1151
net-verification.online,domain,UNC1151
bigmir.space,domain,UNC1151
ru-passport.online,domain,UNC1151
ukroboronprom.online,domain,UNC1151
ron-mil-pl.space,domain,UNC1151
wp-pl-potwierdz-dostep.site,domain,UNC1151
interia-pl.website,domain,UNC1151
onet-pl.online,domain,UNC1151
signin-telekom.online,domain,UNC1151
ua-login.site,domain,UNC1151
eumr.site,domain,Lorec53
id.bigmir.space,domain,UNC1151
wp-agreements.online,domain,UNC1151
net-account.online,domain,UNC1151
net-support.site,domain,UNC1151
logowanie-pl.site,domain,UNC1151
login-telekom.online,domain,UNC1151
mirohost-creditals.space,domain,UNC1151
login-mail.online,domain,UNC1151
ua-agreements.online,domain,UNC1151
i.ua-passport.space,domain,UNC1151
ua-passport.online,domain,UNC1151
sprawdzanie-konta.space,domain,UNC1151
credentials-telekom.online,domain,UNC1151
meta-ua.online,domain,UNC1151
verify-ua.site,domain,UNC1151
login-inbox.online,domain,UNC1151
net-verify.site,domain,UNC1151
sprawdzanie-poczty.space,domain,UNC1151
verify-ua.online,domain,UNC1151
mil-gov.space,domain,UNC1151
net-verify.website,domain,UNC1151
inbox-admin.site,domain,UNC1151
com-validate.site,domain,UNC1151
command-email.online,domain,UNC1151
mil-secure.site,domain,UNC1151
accounts-telekom.online,domain,UNC1151
verify-email.space,domain,UNC1151
weryfikacja-uzytkownika.website,domain,UNC1151
creditals-email.space,domain,UNC1151
meta-ua.space,domain,UNC1151
verify-mail.space,domain,UNC1151
walidacja-uzytkownika.site,domain,UNC1151
mirrohost.space,domain,UNC1151
mod-mil.online,domain,UNC1151
passport.command-email.online,domain,UNC1151
walidacja-konta.space,domain,UNC1151
weryfikacja-uzytkownika.site,domain,UNC1151
accounts-login.online,domain,UNC1151
weryfikacja-poczty.space,domain,UNC1151
op-pl.site,domain,UNC1151
secure-firewall.site,domain,UNC1151
weryfikacja-konta.space,domain,UNC1151
ron-mil.space,domain,UNC1151
akademia-mil.space,domain,UNC1151
azecofarm.az,domain,APT29
com-firewall.online,domain,UNC1151
i-ua.site,domain,UNC1151
kontrola-poczty.space,domain,UNC1151
potwierdzenie.site,domain,UNC1151
verify-ua.space,domain,UNC1151
walidacja-poczty.space,domain,UNC1151
walidacja-uzytkownika.space,domain,UNC1151
konto-verify.space,domain,UNC1151
net-firewall.online,domain,UNC1151
ru-mailbox.site,domain,UNC1151
creditals-mirohost.space,domain,UNC1151
mail-validation.online,domain,UNC1151
microtech.az,domain,APT29
sign-in-inbox.site,domain,UNC1151
ua-passport.site,domain,UNC1151
walidacja-uzytkownika.website,domain,UNC1151
wp-firewall.website,domain,UNC1151
authorization-inbox.site,domain,UNC1151
confluence.novus.ua,domain,HermeticWiper
kontrola-bezpieczenstwa.space,domain,UNC1151
mirohost.site,domain,UNC1151
safe-onet.space,domain,UNC1151
telekom-dienste.online,domain,UNC1151
walidacja-uzytkownika.online,domain,UNC1151
weryfikacja-uzytkownika.space,domain,UNC1151
wp-potwierdzac.site,domain,UNC1151
interia-firewall.site,domain,UNC1151
login-inbox.site,domain,UNC1151
login-microsoftonline.site,domain,UNC1151
mod-mil.site,domain,UNC1151
safe-control.space,domain,UNC1151
safe-onet.online,domain,UNC1151
secure-ua.site,domain,UNC1151
vm-srv-1.gel.ulaval.ca,domain,APT29
is-lt.online,domain,UNC1151
kontrola-bezpieczenstwa.online,domain,UNC1151
kontrola-bezpieczenstwa.site,domain,UNC1151
kontrola-bezpieczenstwa.website,domain,UNC1151
login-yahoo.site,domain,UNC1151
login.walidacja-poczty.space,domain,UNC1151
secure-firewall.website,domain,UNC1151
secure-ua.website,domain,UNC1151
signin-inbox.online,domain,UNC1151
wirtualna-polska.online,domain,UNC1151
account-logins.online,domain,UNC1151
interia.kontrola-bezpieczenstwa.space,domain,UNC1151
interia.sprawdzanie-konta.space,domain,UNC1151
interia.walidacja-konta.space,domain,UNC1151
konto.weryfikacja-poczty.space,domain,UNC1151
konto.weryfikacja-uzytkownika.space,domain,UNC1151
kontrola-poczty.site,domain,UNC1151
mirohost.online,domain,UNC1151
poczta.walidacja-konta.space,domain,UNC1151
service.kontrola-poczty.space,domain,UNC1151
service.walidacja-konta.space,domain,UNC1151
accounts.verify-email.space,domain,UNC1151
aplikacje.ron-mil.space,domain,UNC1151
interii.konto-verify.space,domain,UNC1151
login.creditals-email.space,domain,UNC1151
login.verify-mail.space,domain,UNC1151
mail.mirrohost.space,domain,UNC1151
pis.kontrola-bezpieczenstwa.site,domain,UNC1151
pis.kontrola-bezpieczenstwa.website,domain,UNC1151
poczta.kontrola-bezpieczenstwa.site,domain,UNC1151
poczta.kontrola-bezpieczenstwa.website,domain,UNC1151
poczta.walidacja-uzytkownika.space,domain,UNC1151
post.mil-gov.space,domain,UNC1151
post.verify-mail.space,domain,UNC1151
service.verify-mail.space,domain,UNC1151
www.walidacja-poczty.space,domain,UNC1151
185.156.177.92,IP,UNC1151
194.110.248.92,IP,UNC1151
212.103.61.74,IP,APT29
104.237.218.74,IP,APT29
77.104.135.97,IP,APT29
192.154.224.126,IP,APT29
37.140.192.87,IP,APT29
156.96.46.116,IP,APT29
217.174.238.14,IP,APT29
31.41.45.112,IP,UNC1151
23.82.128.144,IP,APT29
157.230.104.79,IP,UNC1151
23.29.115.180,IP,APT29
185.244.180.13,IP,UNC1151
84.32.188.96,IP,UNC1151
188.34.185.85,IP,APT29
185.244.41.109,IP,Lorec53
3f22c0aeb1eec4350868368ea1cc798c,Hash,APT29
bbb76de7654337fb6c2e851d106cebc7,Hash,APT29
96b77284744f8761c4f2558388e0aee2140618b484ff53fa8b222b340d2a9c84,Hash,HermeticWiper
9ef7dbd3da51332a78eff19146d21c82957821e464e8133e9594a07d716d892d,Hash,WhisperGate
ff17ccd8c96059461710711fcc8372cfea5f0f9eb566ceb6ab709ea871190dc6,Hash,APT29
320d091b3f8de8688ce3b45cdda64a451ea6c22da1fcea60fe31101eb6f0f6c2,Hash,Lorec53
1326932d63485e299ba8e03bfcd23057f7897c3ae0d26ed1235c4fb108adb105,Hash,APT29
dcbbae5a1c61dbbbb7dcd6dc5dd1eb1169f5329958d38b58c3fd9384081c9b78,Hash,WhisperGate
1ee602e9b6e4e58dfff0fb8606a41336723169f8d6b4b1b433372bf6573baf40,Hash,APT29
0385eeab00e946a302b24a91dea4187c1210597b8e17cd9e2230450f5ece21da,Hash,HermeticWiper
7ee8cfde9e4c718af6783ddd8341d63c4919851ba6418b599b2f3c2ac8d70a32,Hash,Lorec53
7e1355e51eb9c38e006368de1ae80b268ffab6918237696474f50802e3d8a9c8,Hash,Lorec53
ac5b6f16fc5115f0e2327a589246ba00b41439c2,Hash,HermeticWiper
5fd4e486bd7e12454f67ba8fcdaa9afc88b4d1c29705b0cffc9d32000700d314,Hash,Lorec53
912342f1c840a42f6b74132f8a7c4ffe7d40fb77,Hash,HermeticWiper
1d776e7fb062e153d3a62e1ebe1f2eec30ea13fa4b1b8749935f1856be4182d9,Hash,WhisperGate
694fb9d8ffeddf9988e6ae8946a50ee195ebb3021b0d0b0370f5246a497c4353,Hash,APT29
4dc13bb83a16d4ff9865a51b3e4d24112327c526c1392e14d56f20d6f4eaf382,Hash,HermeticWiper
29decd1e88b297aa67fef6e14e39889cfd2454c581b9371a1003b63a28324d0f,Hash,Lorec53
7d61c0dd0cd901221a9dff9df09bb90810754f10,Hash,APT29
34ca75a8c190f20b8a7596afeb255f2228cb2467bd210b2637965b61ac7ea907,Hash,HermeticWiper
4e69bbb61329ace36fbe62f9fb6ca49c37e2e5a5293545c44d155641934e39d1,Hash,APT29
e9b96e9b86fad28d950ca428879168e0894d854f,Hash,HermeticWiper
ad602039c6f0237d4a997d5640e92ce5e2b3bba3,Hash,HermeticWiper
c082a9117294fa4880d75a2625cf80f63c8bb159b54a7151553969541ac35862,Hash,APT29
736a4cfad1ed83a6a0b75b0474d5e01a3a36f950,Hash,HermeticWiper
b50fb20396458aec55216cc9f5212162b3459bc769a38e050d4d8c22649888ae,Hash,WhisperGate
d0aad99f10bdd6f6af2f7a0f6c319ed7d126de4d1ff44ca86858e7ffc17cc39b,Hash,Lorec53
a196c6b8ffcb97ffb276d04f354696e2391311db3841ae16c8c9f56f36a38e92,Hash,HermeticWiper
d01e2c2e8df92edeb8298c55211bc4b6,Hash,APT29
3c54c9a49a8ddca02189fe15fea52fe24f41a86f,Hash,HermeticWiper
9fbeb629ea0dc72ac8db680855984d51b28c1195e48abff2e68b0228f49d5b0f,Hash,Lorec53
50df5734dd0c6c5983c21278f119527f9fdf6ef1d7e808a29754ebc5253e9a86,Hash,APT29
3adf9a59743bc5d8399f67cab5eb2daf28b9b863,Hash,APT29
a8fd0a5de66fa39056c0ddf2ec74ccd38b2ede147afa602aba00a3f0b55a88e0,Hash,UNC1151
a2d60af7bebac9b299db109f8162ed6335fb5dda08f57f00e9dc809d4f138428,Hash,HermeticWiper
c59bc17659daca1b1ce65b6af077f86a648ad8a8,Hash,APT29
6b5958bfabfe7c731193adb96880b225c8505b73,Hash,HermeticWiper
1bc44eef75779e3ca1eefb8ff5a64807dbc942b1e4a2672d77b9f6928d292591,Hash,HermeticWiper
506c90747976c4cc3296a4a8b85f388ab97b6c1cfae11096f95977641b8f8b6f,Hash,Lorec53
2a3b660e19b56dad92ba45dd164d300e9bd9c3b17736004878f45ee23a0177ac,Hash,APT29
a64c3e0522fad787b95bfb6a30c3aed1b5786e69e88e023c062ec7e5cebf4d3e,Hash,HermeticWiper
f229a8eb6f5285a1762677c38175c71dead77768f6f5a6ebc320679068293231,Hash,APT29
438cd40caca70cafe5ca436b36ef7d3a6321e858,Hash,APT29
3c9d46dc4e664e20f1a7256e14a33766,Hash,APT29
